,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數
479,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/28,False,21,2022,5.0,2.0
480,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/28,False,21,2022,5.0,2.0
481,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/30,True,22,2022,4.0,3.0
482,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/30,True,22,2022,4.0,3.0
483,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/30,True,22,2022,4.0,3.0
484,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/31,True,22,2022,4.0,3.0
485,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/6/2,True,22,2022,4.0,3.0
486,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/6/2,True,22,2022,4.0,3.0
487,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/6/10,True,23,2022,5.0,2.0
488,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/6/11,False,23,2022,5.0,2.0
489,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/6/12,False,23,2022,5.0,2.0
490,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/6/6,True,23,2022,5.0,2.0
491,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/6/13,True,24,2022,5.0,2.0
492,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/6/16,True,24,2022,5.0,2.0
493,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/6/18,False,24,2022,5.0,2.0
494,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/6/19,False,24,2022,5.0,2.0
495,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/6/19,False,24,2022,5.0,2.0
496,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/6/20,True,25,2022,5.0,2.0
497,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/6/20,True,25,2022,5.0,2.0
498,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/6/21,True,25,2022,5.0,2.0
499,DLN5,A46441986,幫浦輸液套(一般型),0.0,2022/6/23,True,25,2022,5.0,2.0
500,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/6/23,True,25,2022,5.0,2.0
501,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/6/25,False,25,2022,5.0,2.0
502,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/7/4,True,27,2022,5.0,2.0
